energy,intensity
0.25,0.0
0.5,0.0
0.75,0.0
1.0,0.0
1.25,0.0
1.5,0.0
1.75,0.0
2.0,0.0
2.25,0.0
2.5,0.0
2.75,0.0
3.0,0.0
3.25,0.0
3.5,0.0
3.75,0.0
4.0,0.0
4.25,0.1610805802759805
4.5,0.1843265165853659
4.75,0.275238732195122
5.0,0.4307220439024389
5.25,0.6568362560975611
5.5,1.039983780487805
5.75,1.481305804878049
6.0,2.025449024390244
6.25,2.7007851463414636
6.5,3.33732787804878
6.75,4.074838731707317
7.0,4.680556756097561
7.25,5.402663414634146
7.5,5.923101219512195
7.75,6.613679024390246
8.0,7.2647019512195135
8.25,7.569138048780489
8.5,7.745710731707314
8.75,8.044295853658534
9.0,8.243572926829266
9.25,8.355687073170731
9.5,8.243851463414634
9.75,8.22061219512195
10.0,8.328101951219512
10.25,8.389027463414632
10.5,7.01747592682927
10.75,7.457736878048781
11.0,7.256285439024391
11.25,8.02407043902439
11.5,7.465123609756096
11.75,7.235597804878049
12.0,6.981641999999998
12.25,6.611686829268291
12.5,6.489604317073169
12.75,6.41435487804878
13.0,6.010792804878049
13.25,5.743962526829268
13.5,5.621176536585363
13.75,5.4133753634146355
14.0,5.235182212195122
14.25,5.041229148780488
14.5,4.881316124390244
14.75,4.718603392682928
15.0,4.532508492682927
15.25,4.384504768292684
15.5,4.231494017073172
15.75,4.097983121951219
16.0,3.9280424097560984
16.25,3.817148126829268
16.5,3.6659898658536574
16.75,3.5564145829268288
17.0,3.4125189390243906
17.25,3.3180655780487798
17.5,3.1959237951219515
17.75,3.0972257682926827
18.0,2.9777772585365856
18.25,2.8777600780487806
18.5,2.800045192682927
18.75,2.7078205975609757
19.0,2.637961566585366
19.25,2.521700031707317
19.5,2.6069436090243903
19.75,2.5401006851951218
20.0,14.731744984390245
20.25,21.122837360975744
20.5,4.27551578025
20.75,1.9324170742500002
21.0,2.087768181
21.25,1.92322556375
21.5,1.8992794942500002
21.75,1.8404935592307696
22.0,1.9109551848717945
22.25,1.5650699874358973
22.5,3.400341541282051
22.75,6.048354346052631
23.0,2.6664527042105264
23.25,2.1422746824324332
23.5,1.3903973061111115
23.75,1.335953988888889
24.0,1.3217569185714284
24.25,1.329606267941176
24.5,1.2852307758823527
24.75,1.2855853954545458
25.0,1.2544625051515148
25.25,1.2049869718181818
25.5,1.1789751142424243
25.75,1.1623170665625004
26.0,1.1372577825
26.25,1.0894337875
26.5,1.0660743278125002
26.75,1.0536379983870967
27.0,1.0281249138709676
27.25,0.9939524516129034
27.5,0.9612089319354838
27.75,0.9687436243333335
28.0,0.9239628489999999
28.25,0.9011154306666668
28.5,0.8735586569999999
28.75,0.8735397310344828
29.0,0.8449838517241378
29.25,0.812265538275862
29.5,0.7854030603448277
29.75,0.7639298699999998
30.0,0.7922303825925925
30.25,0.7635837314814815
30.5,0.7372907796296296
30.75,0.7133424751851853
31.0,0.7426404428000001
31.25,0.712355016
31.5,0.6951851436000002
31.75,0.7228757843478261
32.0,0.6984574169565217
32.25,0.6688450691304347
32.5,0.6821685872727272
32.75,0.7194354540000001
33.0,0.6932733785
33.25,0.662971031
33.5,0.6441429375000001
33.75,0.6513483005263158
34.0,0.622886805263158
34.25,0.6012657421052632
34.5,0.5786463336842105
34.75,0.5880814294444444
35.0,0.5625410316666666
35.25,0.5434899305555556
35.5,0.5154605796111111
35.75,0.529725251764706
36.0,0.5019764085294117
36.25,0.4895456958823529
36.5,0.4650606911764706
36.75,0.4748270681249999
37.0,0.45197281375000004
37.25,0.439268248125
37.5,0.4393763993333334
37.75,0.42665090666666666
38.0,0.4025900373333334
38.25,0.387252324
38.5,0.36701091533333335
38.75,0.3743762592857144
39.0,0.3544870221428571
39.25,0.3430224185714286
39.5,0.3419168965384615
39.75,0.3371702453846153
40.0,0.3133504930769231
40.25,0.30103028692307693
40.5,0.30608178
40.75,0.2975874310833333
41.0,0.2648332583333333
41.25,0.26081554583333333
41.5,0.2636722704545455
41.75,0.24759981545454543
42.0,0.23591324545454545
42.25,0.22194705009090906
42.5,0.22573821
42.75,0.21703648099999998
43.0,0.19887978199999998
43.25,0.184990471
43.5,0.19060380999999998
43.75,0.18271735444444442
44.0,0.16153624444444445
44.25,0.15247917833333333
44.5,0.15594276625
44.75,0.1489078781125
45.0,0.12888600025000002
45.25,0.12060279874999999
45.5,0.12944148642857142
45.75,0.11106394085714287
46.0,0.10713301142857144
46.25,0.10371193833333332
46.5,0.094994153750885
46.75,0.084994045
47.0,0.07380909249999999
47.25,0.0784330982
47.5,0.06451363800000001
47.75,0.06441586752
48.0,0.041215998
48.25,0.053172307499999995
48.5,0.0363855565
48.75,0.0333293175
49.0,0.0231511975
49.25,0.021909833333333333
49.5,0.018128506666666665
49.75,0.009637473
50.0,0.006105823333333333
50.25,0.0009153895
50.5,0.001377877
50.75,0.000689625
51.0,0.0018837
51.25,0.00106207
51.5,0.000775199
51.75,8.24223e-06
52.0,0.00156077
