energy,intensity
0.25,0.0
0.5,0.0
0.75,0.0
1.0,0.0
1.25,0.0
1.5,0.0
1.75,0.0
2.0,0.0
2.25,0.0
2.5,0.0
2.75,0.0
3.0,0.0
3.25,0.0
3.5,0.0
3.75,0.0
4.0,0.0
4.25,0.13741207317073176
4.5,0.11760086098122977
4.75,0.12526398048780493
5.0,0.13843492195121954
5.25,0.18999395609756098
5.5,0.2975890048780488
5.75,0.45987695121951205
6.0,0.7275198048780487
6.25,1.1364368292682923
6.5,1.5683141707317068
6.75,1.9891698536585356
7.0,2.40855519512195
7.25,2.8582370487804876
7.5,3.4307495121951206
7.75,4.124296341463413
8.0,5.8562060975609755
8.25,20.983100000000004
8.5,19.122892682926825
8.75,5.990039268292682
9.0,6.984437073170734
9.25,6.971280975609758
9.5,19.333521951219506
9.75,27.12266585365854
10.0,16.23575390243903
10.25,7.150439292682926
10.5,5.440977095121951
10.75,5.615643797560977
11.0,6.221678856097561
11.25,10.324988899999997
11.5,8.231661309756095
11.75,6.325335602439025
12.0,5.405650217073167
12.25,4.911081126829268
12.5,4.786312887804879
12.75,4.754904673170733
13.0,4.684675663414633
13.25,4.540621343902438
13.5,4.522532839024391
13.75,4.426680431707317
14.0,4.3334777024390245
14.25,4.261596043902439
14.5,4.197399219512195
14.75,4.108903797560976
15.0,4.020968495121952
15.25,3.933575702439025
15.5,3.8745263609756093
15.75,3.7874932585365855
16.0,3.6915892170731706
16.25,3.6166854002675364
16.5,3.544504502439024
16.75,3.5458538250000005
17.0,3.461946894999999
17.25,3.463652530769231
17.5,3.39211327948718
17.75,3.314420156410256
18.0,3.2192929871794873
18.25,3.2297560684210533
18.5,3.148227463157895
18.75,3.0803030815789474
19.0,2.9932689347368413
19.25,3.0036826243243246
19.5,3.0218338733333336
19.75,3.0183265971428574
20.0,2.9410401771428574
20.25,2.9479151499999996
20.5,2.8791240588235296
20.75,2.888930015151515
21.0,2.8126963515151506
21.25,2.736879593939394
21.5,2.671504763636363
21.75,2.6815141499999995
22.0,2.638695671875
22.25,2.633126403225806
22.5,2.5554349096774196
22.75,2.5670470266666667
23.0,2.4940586800000006
23.25,2.4226752973333334
23.5,2.3627505833333333
23.75,2.3816174427586203
24.0,2.3135987206896553
24.25,2.243464905862069
24.5,2.1896643224137935
24.75,2.2072753103571428
25.0,2.1426603421428574
25.25,2.080993519285714
25.5,2.0196153392857146
25.75,2.0310218025925924
26.0,1.9762999551851854
26.25,1.9148836085185181
26.5,1.864927731111111
26.75,1.88668766
27.0,1.8171599130769234
27.25,1.777557385384615
27.5,1.717712812307692
27.75,1.7390562659999997
28.0,1.6841205371999997
28.25,1.6337594639999997
28.5,1.5848452735999998
28.75,1.6019017679166667
29.0,1.5529398975
29.25,1.5011862920833334
29.5,1.4631695758333334
29.75,1.473383153478261
30.0,1.4323033730434784
30.25,1.3816716660869566
30.5,1.344184052173913
30.75,1.356108767272727
31.0,1.3157366350000002
31.25,1.2679912595454546
31.5,1.2333301868181816
31.75,1.2453093719047619
32.0,1.2079161442857143
32.25,1.1630178914285714
32.5,1.1284521033333332
32.75,1.1426913815
33.0,1.1058435235000001
33.25,1.0630976079999999
33.5,1.031936063
33.75,1.0395979836842109
34.0,1.0129981184210526
34.25,0.9670927491205265
34.5,0.9390647129473684
34.75,0.9518497688888891
35.0,0.917662595
35.25,0.8808789961111112
35.5,0.848418518888889
35.75,0.8691819476470589
36.0,0.8283788652941175
36.25,0.800808574117647
36.5,0.7665091005882352
36.75,0.7856073381249999
37.0,0.7481720425
37.25,0.7228298181249999
37.5,0.6866671343749998
37.75,0.7127113726666665
38.0,0.6704033086666666
38.25,0.6474446146666667
38.5,0.6175881126666666
38.75,0.6326267935714285
39.0,0.5990661507142858
39.25,0.5756283885714285
39.5,0.5471955007142857
39.75,0.5651265015384616
40.0,0.5314525169230769
40.25,0.5074726561538462
40.5,0.48496300923076924
40.75,0.4948527866666667
41.0,0.4679027616666666
41.25,0.44432473333333333
41.5,0.4204633041666666
41.75,0.4324812227272728
42.0,0.4076301663636363
42.25,0.37931712909090914
42.5,0.36634792272727273
42.75,0.36645518
43.0,0.349386745
43.25,0.321887919
43.5,0.310179572
43.75,0.3091348711111111
44.0,0.2917133966666667
44.25,0.2694735288888889
44.5,0.24875711
44.75,0.26068069125
45.0,0.23800608
45.25,0.21476808375
45.5,0.19991364375
45.75,0.20722293857142857
46.0,0.18149275285714286
46.25,0.16903143999999998
46.5,0.14663434285714286
46.75,0.160453525
47.0,0.12925352166666668
47.25,0.12101514000000001
47.5,0.10045586666666667
47.75,0.10928547200000001
48.0,0.08484879000000001
48.25,0.07744327399999999
48.5,0.059564014
48.75,0.0621261875
49.0,0.04298664
49.25,0.035015647500000004
49.5,0.03046698
49.75,0.021680336666666664
50.0,0.009825133333333333
50.25,0.004589139999999999
50.5,0.00541583
50.75,0.0035228300000000002
51.0,0.00444953
51.25,0.00416459
51.5,0.0037812
51.75,0.00349754
52.0,0.0046286
52.25,0.00416301
