Material,energy,intensity
W,45.25,0.21476808375
W,45.5,0.19991364375
W,45.75,0.20722293857142857
W,46.0,0.18149275285714286
W,46.25,0.16903143999999998
W,46.5,0.14663434285714286
W,46.75,0.160453525
W,47.0,0.12925352166666668
W,47.25,0.12101514000000001
W,47.5,0.10045586666666667
W,47.75,0.10928547200000001
W,48.0,0.08484879000000001
W,48.25,0.07744327399999999
W,48.5,0.059564014
W,48.75,0.0621261875
W,49.0,0.04298664
W,49.25,0.035015647500000004
W,49.5,0.03046698
W,49.75,0.021680336666666664
W,50.0,0.009825133333333333
W,50.25,0.004589139999999999
W,50.5,0.00541583
W,50.75,0.0035228300000000002
W,51.0,0.00444953
W,51.25,0.00416459
W,51.5,0.0037812
W,51.75,0.00349754
W,52.0,0.0046286
W,52.25,0.00416301
