energy,intensity
0.25,0.0
0.5,0.0
0.75,0.0
1.0,0.0
1.25,0.0
1.5,0.0
1.75,0.0
2.0,0.0
2.25,0.0
2.5,0.0
2.75,0.0
3.0,0.0
3.25,0.0
3.5,0.0
3.75,0.0
4.0,0.0
4.25,0.13234332312422586
4.5,0.14594296334435553
4.75,0.20611648037782185
5.0,0.334957258673797
5.25,0.5467960780487805
5.5,0.865396268292683
5.75,1.3470388048780486
6.0,1.8434799024390245
6.25,2.585765073170731
6.5,3.4619756097560983
6.75,3.863927487804878
7.0,4.337221414634146
7.25,5.455260975609756
7.5,6.944842926829267
7.75,5.045412104202204
8.0,6.255415121951219
8.25,7.242343414634151
8.5,7.370941219512195
8.75,7.707618536585363
9.0,7.818439024390241
9.25,7.854058536585367
9.5,8.040959756097559
9.75,7.989742195121953
10.0,7.552997073170729
10.25,7.443997853658536
10.5,7.26325719512195
10.75,7.253032365853654
11.0,6.922381634146342
11.25,7.63175943902439
11.5,7.1147777073170735
11.75,6.826676000000001
12.0,6.605617707317072
12.25,6.245480414634147
12.5,6.105381097560975
12.75,5.924880000000001
13.0,5.702328219512195
13.25,5.428892
13.5,5.273850268292683
13.75,5.070926682926829
14.0,4.881621390243903
14.25,4.713378551219512
14.5,4.53184175609756
14.75,4.39606836097561
15.0,4.197766021951218
15.25,4.075398846341463
15.5,3.9302181146341457
15.75,3.8065042756097562
16.0,3.650472590243903
16.25,3.611571104878048
16.5,3.31459463902439
16.75,3.9094767195121958
17.0,2.3243496731707314
17.25,22.375747597560974
17.5,37.20728657560975
17.75,6.334204495121951
18.0,2.4290428560975608
18.25,2.7142850024390235
18.5,2.493348351219512
18.75,2.4332702365853653
19.0,2.445793969268293
19.25,2.4205091575609754
19.5,8.006987403414636
19.75,6.712599187560975
20.0,2.626885777560976
20.25,1.9303031019512187
20.5,1.5853660012195125
20.75,1.64403933575
21.0,1.5744611745000001
21.25,1.53309116475
21.5,1.4809528610000002
21.75,1.446501649975
22.0,1.4157998937249996
22.25,1.4008142423076921
22.5,1.3341723284615385
22.75,1.2915996338461542
23.0,1.2533491133333332
23.25,1.2313251126315787
23.5,1.2047654568421053
23.75,1.1612187302631576
24.0,1.1583670843243243
24.25,1.1476469530555553
24.5,1.1072460119444445
24.75,1.0853362980555559
25.0,1.0742176571428572
25.25,1.0345593465714285
25.5,0.9965275617142859
25.75,0.9651084308571429
26.0,0.9576116026470587
26.25,0.9237680573529413
26.5,0.8956949420588235
26.75,0.8932004618181818
27.0,0.8574992099999998
27.25,0.8369112651515153
27.5,0.8035504815151515
27.75,0.8578281163333334
28.0,0.8527803355172414
28.25,0.8240598893103448
28.5,0.7983822582758621
28.75,0.8150874955555554
29.0,0.8009687651851853
29.25,0.7888207319230769
29.5,0.7976688967999999
29.75,0.8045623900000001
30.0,0.7777906254166665
30.25,0.7471064
30.5,0.7517793656521737
30.75,0.7601092268181818
31.0,0.7237499281818182
31.25,0.7113590877272726
31.5,0.6748832363636361
31.75,0.6915146380952382
32.0,0.6599970533333333
32.25,0.6388663390380951
32.5,0.6022644914285713
32.75,0.6280507349999999
33.0,0.5880223835000001
33.25,0.5717075555
33.5,0.584435717368421
33.75,0.5545830484210527
34.0,0.5399288863157895
34.25,0.5130497393157896
34.5,0.523519385
34.75,0.5016841649999999
35.0,0.4889725711111111
35.25,0.46219648388888884
35.5,0.4632838429411765
35.75,0.4532565082352942
36.0,0.4272915870588236
36.25,0.4170312162201171
36.5,0.42053561000000006
36.75,0.4007762859375
37.0,0.38601113500000006
37.25,0.368237303125
37.5,0.3770925506666666
37.75,0.35464531266666666
38.0,0.34112772
38.25,0.32480420786666664
38.5,0.33300807928571435
38.75,0.31752554621428575
39.0,0.29723428500000004
39.25,0.2917335857142857
39.5,0.2869939276923077
39.75,0.2846922746153846
40.0,0.25519088076923074
40.25,0.27586238333333335
40.5,0.25317516500000004
40.75,0.24579867916666667
41.0,0.22830384583333338
41.25,0.23434855272727273
41.5,0.22197234454545453
41.75,0.20668931545454547
42.0,0.1979528981818182
42.25,0.20057786699999997
42.5,0.18854056371
42.75,0.17926433400000003
43.0,0.16201268900000002
43.25,0.17262836555555555
43.5,0.15962104777777777
43.75,0.14816063777777777
44.0,0.13473488766666664
44.25,0.14149585375
44.5,0.13213101475
44.75,0.11764631625000001
45.0,0.10796682725
45.25,0.11371609571428569
45.5,0.101588503
45.75,0.09713806857142858
46.0,0.09199729999999999
46.25,0.088816775
46.5,0.07824283
46.75,0.06614357650000001
47.0,0.072176014
47.25,0.06251655040000001
47.5,0.052758273999999994
47.75,0.060326094999999996
48.0,0.0469110625
48.25,0.040414495
48.5,0.031063062500000002
48.75,0.03484511666666667
49.0,0.024972210000000005
49.25,0.018248222666666668
49.5,0.012762589999999999
49.75,0.012699544409800001
50.0,0.005128725
50.25,0.0012724695
50.5,0.000376972
50.75,0.00164121
51.0,1.88757e-12
51.25,0.00212532
